região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
SUDESTE;22;urbano;feminino;branca;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;;;2;2;evangélica;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;neutro;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;72;urbano;feminino;branca;sexta série fundamental;primeira série fundamental;analfabeto ou sem instrução;678;;3;2;católica;concorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total
NORDESTE;41;urbano;feminino;parda;superior completo;quinta série fundamental;quinta série fundamental;2000;3000;5;2;evangélica;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total
SUL;28;urbano;feminino;branca;médio completo;médio completo;sétima série fundamental;1000;4000;5;2;católica;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;neutro;discorda parcial;discorda parcial;neutro;concorda total;ns;discorda parcial;discorda parcial;discorda parcial
SUL;69;urbano;feminino;branca;primeira série médio;analfabeto ou sem instrução;analfabeto ou sem instrução;1700;1700;1;2;católica;discorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial
SUDESTE;39;metropolitano;masculino;parda;segunda série médio;oitava série fundamental incompleta;quarta série fundamental completa;2500;2500;4;2;católica;concorda parcial;discorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total
SUL;67;urbano;masculino;preta;primeira série fundamental;primeira série fundamental;primeira série fundamental;800;1600;3;2;católica;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;ns;ns;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;ns;concorda total;discorda total;discorda total
SUDESTE;45;metropolitano;masculino;branca;sétima série fundamental;oitava série fundamental incompleta;quarta série fundamental completa;900;1500;3;2;espírita;concorda parcial;discorda total;discorda total;neutro;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda total;neutro;neutro;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;neutro
SUL;60;urbano;feminino;parda;quarta série fundamental completa;quarta série fundamental completa;quarta série fundamental completa;700;1400;2;2;evangélica;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total
SUDESTE;17;metropolitano;masculino;branca;oitava série fundamental incompleta;segunda série médio;segunda série médio;2500;2500;5;1;católica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;neutro;concorda parcial;concorda parcial;neutro;discorda total;discorda total;neutro
SUDESTE;47;urbano;masculino;preta;fundamental completa;terceira série fundamental;quarta série fundamental completa;1000;1000;1;2;católica;discorda total;discorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;neutro;concorda parcial;discorda total;neutro;neutro;concorda parcial;concorda total;discorda parcial;neutro;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;neutro;discorda total;discorda parcial;discorda total;discorda parcial;discorda total
SUL;21;urbano;feminino;parda;fundamental completa;terceira série fundamental;não sabe;800;1600;3;2;católica;discorda parcial;concorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;ns;ns;concorda total;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total
NORDESTE;48;urbano;feminino;branca;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;2500;3;2;evangélica;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;neutro;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda parcial;discorda total
SUL;37;urbano;masculino;preta;médio completo;fundamental completa;médio completo;900;1800;3;2;católica;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial
SUDESTE;38;metropolitano;feminino;branca;médio completo;quarta série fundamental completa;quarta série fundamental completa;1500;1500;6;1;católica;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial
SUL;32;urbano;feminino;preta;fundamental completa;não sabe;não sabe;900;1600;5;2;evangélica;concorda total;concorda parcial;concorda total;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;ns;neutro;discorda parcial
SUDESTE;25;metropolitano;feminino;branca;cursou superior sem concluir;sétima série fundamental;quarta série fundamental completa;3000;3600;5;2;católica;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;neutro;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;neutro;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda total;discorda total
NORDESTE;26;urbano;feminino;preta;médio completo;quarta série fundamental completa;terceira série fundamental;678;1500;5;2;católica;discorda parcial;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;discorda total;concorda parcial
SUL;27;urbano;masculino;branca;médio completo;terceira série fundamental;terceira série fundamental;900;3000;4;2;católica;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;neutro;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial
SUDESTE;41;metropolitano;feminino;preta;médio completo;terceira série fundamental;sexta série fundamental;650;900;3;2;evangélica;discorda total;neutro;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;neutro;discorda total;discorda total;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;neutro;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;discorda total;discorda total;discorda total
SUDESTE;28;urbano;masculino;preta;médio completo;sexta série fundamental;oitava série fundamental incompleta;;;4;2;católica;neutro;concorda parcial;discorda total;discorda total;concorda parcial;neutro;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total
SUL;43;urbano;feminino;branca;médio completo;médio completo;segunda série fundamental;;1600;3;2;católica;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;neutro;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial
SUDESTE;28;metropolitano;feminino;amarela;segunda série médio;quarta série fundamental completa;quarta série fundamental incompleta;600;1300;4;2;evangélica;discorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total;discorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;neutro;discorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;discorda parcial
SUL;22;urbano;masculino;branca;cursou superior sem concluir;superior completo;superior completo;;;3;2;católica;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;neutro;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;neutro;discorda parcial;neutro;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial
NORTE;44;urbano;masculino;parda;quinta série fundamental;não sabe;não sabe;678;678;2;1;católica;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial
SUDESTE;58;urbano;feminino;branca;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;1000;1400;4;2;espírita;discorda total;neutro;concorda total;concorda parcial;concorda total;neutro;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;neutro;discorda total;neutro;discorda total;discorda total;discorda total
SUDESTE;26;metropolitano;feminino;preta;segunda série médio;segunda série médio;segunda série médio;1600;1600;3;2;católica;discorda total;neutro;discorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;neutro;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial
SUDESTE;64;metropolitano;masculino;branca;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;500;800;2;2;espírita;discorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;neutro;discorda total;concorda total;discorda total;discorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial
NORTE;20;urbano;feminino;parda;cursou superior sem concluir;médio completo;médio completo;900;1800;4;2;católica;concorda total;ns;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda parcial
SUL;56;urbano;masculino;preta;quinta série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;900;1900;5;2;evangélica;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total
SUDESTE;19;urbano;feminino;branca;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;1500;2200;4;2;evangélica;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;42;urbano;feminino;branca;quarta série fundamental completa;quinta série fundamental;primeira série fundamental;800;1500;3;2;católica;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;ns;discorda total;discorda total;concorda total;concorda total;discorda parcial;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;concorda total;discorda total;concorda parcial;ns;neutro;concorda total;discorda total;neutro;neutro;concorda parcial
SUL;37;urbano;feminino;branca;médio completo;segunda série fundamental;superior completo;1000;2000;5;2;católica;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;ns;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;ns;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total
SUDESTE;25;metropolitano;feminino;parda;segunda série médio;segunda série médio;segunda série médio;2000;2000;4;2;católica;discorda parcial;discorda parcial;discorda total;neutro;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;neutro;discorda parcial;discorda total;neutro;concorda parcial;discorda total;concorda total;concorda parcial
SUDESTE;48;metropolitano;feminino;amarela;quarta série fundamental incompleta;primeira série fundamental;analfabeto ou sem instrução;650;;3;2;espírita;concorda total;discorda total;discorda parcial;discorda total;discorda total;neutro;discorda total;concorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial
NORTE;30;urbano;feminino;parda;segunda série médio;oitava série fundamental incompleta;médio completo;500;500;3;2;católica;concorda parcial;ns;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;concorda total
SUDESTE;18;metropolitano;masculino;preta;segunda série médio;quarta série fundamental completa;terceira série fundamental;;;4;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda parcial;neutro;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total
SUDESTE;19;metropolitano;masculino;branca;médio completo;sexta série fundamental;primeira série médio;;1300;3;2;evangélica;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;discorda parcial;concorda parcial;neutro;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;neutro;discorda total;discorda parcial;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;neutro
SUL;60;urbano;feminino;parda;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;1000;2;2;evangélica;discorda total;neutro;concorda total;neutro;neutro;concorda total;concorda total;concorda total;neutro;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total
NORTE;20;urbano;feminino;parda;sexta série fundamental;terceira série fundamental;quarta série fundamental incompleta;678;800;6;1;católica;concorda parcial;ns;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda parcial;concorda parcial
SUL;65;urbano;feminino;branca;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;600;600;1;2;católica;concorda total;neutro;concorda total;neutro;concorda total;discorda parcial;concorda total;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;neutro;concorda total;concorda total;concorda total;concorda total;discorda parcial;neutro;concorda total;concorda total;discorda parcial;neutro;discorda parcial;concorda total
SUDESTE;21;urbano;feminino;preta;terceira série médio incompleto;médio completo;quarta série fundamental completa;3000;3000;3;2;espírita;discorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total
SUDESTE;54;metropolitano;masculino;branca;terceira série médio incompleto;sétima série fundamental;sexta série fundamental;1200;;2;2;católica;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial
SUL;52;urbano;feminino;branca;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;600;;5;2;outras;discorda parcial;neutro;concorda total;discorda parcial;neutro;concorda total;concorda total;concorda total;ns;concorda total;concorda total;concorda total;ns;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;discorda parcial;ns;concorda total;discorda parcial;concorda total
SUDESTE;25;metropolitano;masculino;preta;segunda série médio;segunda série médio;oitava série fundamental incompleta;3500;3500;6;2;evangélica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;neutro;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total
NORTE;40;urbano;feminino;parda;médio completo;oitava série fundamental incompleta;oitava série fundamental incompleta;1200;2000;3;2;evangélica;concorda parcial;ns;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;discorda parcial;concorda total
SUL;38;urbano;feminino;preta;quinta série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;700;1800;5;2;evangélica;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total
SUDESTE;24;metropolitano;masculino;parda;primeira série médio;quarta série fundamental completa;primeira série médio;850;1500;4;2;evangélica;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;neutro;discorda total;discorda parcial;concorda parcial;discorda parcial;neutro;discorda parcial;discorda parcial;discorda parcial;discorda parcial;neutro;discorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total
SUL;49;urbano;masculino;parda;quarta série fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;900;2000;5;2;evangélica;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total
NORTE;77;urbano;masculino;parda;terceira série fundamental;analfabeto ou sem instrução;terceira série fundamental;678;678;3;2;católica;concorda parcial;ns;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;neutro;concorda total
SUDESTE;32;metropolitano;feminino;parda;fundamental completa;analfabeto ou sem instrução;primeira série fundamental;1500;1500;2;2;evangélica;discorda total;neutro;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;18;metropolitano;masculino;branca;primeira série médio;segunda série médio;segunda série médio;2500;3800;6;2;evangélica;discorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;neutro;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;neutro;neutro;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total
SUL;29;urbano;masculino;branca;primeira série médio;quarta série fundamental completa;analfabeto ou sem instrução;1500;2200;2;2;católica;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total
SUDESTE;29;urbano;masculino;parda;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;;;3;2;afrobrasileiras;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total
NORTE;36;urbano;feminino;parda;médio completo;não sabe;não sabe;678;1356;5;1;evangélica;concorda total;ns;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;concorda total
SUDESTE;20;urbano;masculino;parda;médio completo;segunda série fundamental;quarta série fundamental incompleta;1200;1200;4;2;católica;discorda parcial;neutro;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;concorda total
SUDESTE;30;metropolitano;feminino;branca;médio completo;terceira série fundamental;quarta série fundamental completa;900;;4;2;evangélica;discorda parcial;neutro;discorda total;discorda total;concorda parcial;neutro;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;concorda total;discorda parcial;discorda total;discorda total;concorda parcial;discorda parcial
SUDESTE;45;metropolitano;masculino;parda;superior completo;segunda série médio;segunda série médio;2800;3600;5;2;católica;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;neutro;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;discorda total;concorda total;discorda parcial;concorda total
SUDESTE;25;metropolitano;feminino;amarela;terceira série médio incompleto;oitava série fundamental incompleta;oitava série fundamental incompleta;1000;1400;3;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda total;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda parcial
NORDESTE;32;urbano;feminino;parda;médio completo;médio completo;médio completo;1900;2500;4;2;católica;discorda total;ns;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;65;urbano;masculino;preta;segunda série fundamental;não sabe;não sabe;678;678;2;2;evangélica;discorda total;ns;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
NORDESTE;74;urbano;feminino;parda;quinta série fundamental;não sabe;não sabe;678;1900;5;2;católica;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total
