regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
NORDESTE	64	metropolitano	feminino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1400	3	2	cat¢lica	concorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda parcial	concorda total	discorda total	discorda parcial	discorda total	concorda total	discorda total	concorda total
NORDESTE	25	metropolitano	feminino	preta	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	400	580	3	1	cat¢lica	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	discorda parcial	discorda total
NORDESTE	56	metropolitano	feminino	parda	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	m‚dio completo	678	1800	6	2	cat¢lica	concorda parcial	ns	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda total	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda total
NORDESTE	51	metropolitano	feminino	parda	m‚dio completo	terceira s‚rie fundamental	quinta s‚rie fundamental	678	2000	4	2	cat¢lica	concorda total	neutro	discorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	discorda parcial	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	discorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	neutro	discorda total	concorda total	concorda total
NORDESTE	42	metropolitano	feminino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	800	3	2	cat¢lica	discorda parcial	discorda parcial	concorda total	discorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	discorda parcial	concorda total	discorda total	discorda parcial	concorda total	neutro	discorda total	concorda total	discorda parcial	concorda total	neutro
NORDESTE	49	metropolitano	masculino	branca	fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1200	2	1	evang‚lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda parcial	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda parcial	neutro	discorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total
NORDESTE	38	metropolitano	feminino	preta	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1400	3	2	cat¢lica	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total
NORDESTE	40	metropolitano	masculino	parda	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	2000	5	2	cat¢lica	discorda parcial	concorda parcial	concorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda parcial
NORDESTE	64	metropolitano	feminino	parda	sexta s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	360	360	1	1	evang‚lica	discorda parcial	neutro	concorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	neutro	concorda total	concorda total	discorda parcial	concorda total	discorda total	discorda total
NORDESTE	30	metropolitano	feminino	preta	m‚dio completo	nÆo conheceu	s‚tima s‚rie fundamental	850	850	4	1	evang‚lica	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	concorda total	discorda total	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda total	concorda total	discorda parcial	concorda total	discorda total	discorda total	concorda parcial
NORDESTE	40	metropolitano	feminino	branca	m‚dio completo	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	520	520	4	1	cat¢lica	discorda total	concorda total	discorda parcial	concorda total	discorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda parcial	concorda total
NORTE	80	urbano	masculino	parda	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	terceira s‚rie fundamental	678	678	4	2	esp¡rita	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total
NORTE	46	urbano	feminino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	900	1356	6	1	cat¢lica	discorda parcial	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda parcial	concorda total
NORTE	71	urbano	masculino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	800	5	1	evang‚lica	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total
NORTE	60	urbano	masculino	parda	segunda s‚rie fundamental	quinta s‚rie fundamental	primeira s‚rie fundamental	3650	3650	1	2	sem	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total
NORTE	29	urbano	masculino	parda	quarta s‚rie fundamental completa	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	678	678	3	2	cat¢lica	discorda total	ns	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial
NORTE	44	urbano	masculino	parda	m‚dio completo	primeira s‚rie fundamental	terceira s‚rie fundamental	678	1150	3	2	evang‚lica	concorda total	ns	discorda total	concorda total	concorda total	neutro	concorda total	concorda parcial	concorda parcial	concorda parcial	ns	concorda parcial	ns	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	ns	discorda total	ns	concorda total	ns	concorda parcial	discorda total	concorda total
NORTE	52	urbano	feminino	parda	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	300	370	3	1	esp¡rita	discorda parcial	concorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda total	discorda total	concorda parcial	concorda total
NORTE	46	urbano	masculino	parda	segunda s‚rie fundamental	nÆo sabe	analfabeto ou sem instru‡Æo	678	1600	5	2	cat¢lica	discorda total	concorda total	discorda total	discorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda parcial	concorda total
NORTE	27	urbano	masculino	parda	m‚dio completo	nÆo conheceu	analfabeto ou sem instru‡Æo	678	678	7	1	evang‚lica	discorda total	neutro	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	discorda parcial	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda parcial	discorda total
NORTE	41	urbano	feminino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	450	450	4	1	cat¢lica	concorda total	neutro	concorda parcial	concorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	concorda total	concorda total	ns	concorda parcial	discorda total	concorda total
